code,term
E11,Type 2 diabetes mellitus
E110,Type 2 diabetes mellitus : With coma
E111,Type 2 diabetes mellitus : With ketoacidosis
E112,Type 2 diabetes mellitus : With renal complications
E113,Type 2 diabetes mellitus : With ophthalmic complications
E114,Type 2 diabetes mellitus : With neurological complications
E115,Type 2 diabetes mellitus : With peripheral circulatory complications
E116,Type 2 diabetes mellitus : With other specified complications
E117,Type 2 diabetes mellitus : With multiple complications
E118,Type 2 diabetes mellitus : With unspecified complications
E119,Type 2 diabetes mellitus : Without complications
E14,Unspecified diabetes mellitus
E140,Unspecified diabetes mellitus : With coma
E141,Unspecified diabetes mellitus : With ketoacidosis
E142,Unspecified diabetes mellitus : With renal complications
E143,Unspecified diabetes mellitus : With ophthalmic complications
E144,Unspecified diabetes mellitus : With neurological complications
E145,Unspecified diabetes mellitus : With peripheral circulatory complications
E146,Unspecified diabetes mellitus : With other specified complications
E147,Unspecified diabetes mellitus : With multiple complications
E148,Unspecified diabetes mellitus : With unspecified complications
E149,Unspecified diabetes mellitus : Without complications
